epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,5.13781,2.92578,8.45742,3.80891,0.02589,5.00936,0.48035,0.30317,0.26478,0.08739,0.02149,0.03243,0.00761,0.00123,2.69452,12.9061,15.0655,0.03433,0,7e-05,7e-05,0.09307
2,9.10511,2.65883,4.5469,2.89066,0.02262,3.79581,0.36268,0.21946,0.19378,0.07811,0,0,0,0,2.86272,24.8031,8.10293,0.03677,0,0.000146287,0.000146287,0.0851463
3,12.881,2.58856,4.12399,2.70224,0.02182,3.5121,0.33981,0.20175,0.20587,0.08534,0.00058,0.01282,0.00032,3e-05,2.7841,20.22,4.79245,0.03484,0,0.000218615,0.000218615,0.0772186
4,16.5854,2.45273,4.04126,2.61465,0.02066,3.35045,0.4325,0.19985,0.18603,0.06311,0.06104,0.01282,0.00297,0.00106,2.91215,13.7956,4.35464,0.03673,0,0.000286983,0.000286983,0.069287
5,20.3035,2.36642,4.04938,2.54325,0.02078,3.19798,0.43417,0.32802,0.27007,0.08833,0.06392,0.01282,0.00396,0.00092,2.80317,8.82106,3.40384,0.03501,0,0.00035139,0.00035139,0.0613514
6,23.9905,2.32866,3.92149,2.65186,0.02058,3.06297,0.40826,0.3557,0.32156,0.11228,0.00433,0.01282,0.00046,0.00026,2.69222,7.55133,2.82849,0.03282,0,0.000411837,0.000411837,0.0534118
7,29.1879,2.33264,3.92364,2.61528,0.01926,2.95956,0.50925,0.36048,0.37091,0.12141,0.12594,0.03243,0.02228,0.00242,2.7043,6.08203,2.50598,0.03341,0,0.000468325,0.000468325,0.0454683
8,34.4146,2.26995,3.99141,2.65152,0.01858,2.8419,0.56064,0.38199,0.38003,0.12654,0.05963,0.05807,0.02722,0.0042,2.68705,5.26221,2.36697,0.03323,0,0.000520852,0.000520852,0.0375209
9,38.0354,2.28747,3.88168,2.35351,0.01886,2.70357,0.54401,0.40573,0.3824,0.13961,0.1251,0.10125,0.04251,0.00872,2.605,4.63539,2.31261,0.03226,0,0.00056942,0.00056942,0.0295694
10,41.6322,2.14719,3.63385,2.30511,0.0193,2.85634,0.57505,0.40573,0.37975,0.14528,0.17948,0.13513,0.06061,0.01172,2.55955,4.3593,2.2995,0.03136,0,0.000614028,0.000614028,0.021614
11,45.3716,2.22035,3.80744,2.47511,0.01757,2.73286,0.60784,0.39033,0.40878,0.16599,0.18925,0.20588,0.07983,0.01927,2.51184,4.12982,2.27577,0.03011,0,0.000654675,0.000654675,0.0136547
12,48.9641,2.21698,3.77796,2.5505,0.01926,2.78678,0.53997,0.41676,0.3847,0.16189,0.21739,0.22065,0.10317,0.02365,2.51159,4.04587,2.21697,0.03015,0,0.000691363,0.000691363,0.00569136
13,52.5737,2.21386,3.83254,2.48795,0.01907,2.56645,0.53955,0.43816,0.39901,0.15338,0.2151,0.21238,0.1127,0.02592,2.51341,3.96523,2.22186,0.03012,0,0.000703,0.000703,0.000703
