epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,2.55103,2.78102,10.1972,2.96575,0.02565,6.01262,0.62525,0.61212,0.52982,0.13535,0.0696,0.06667,0.01085,0.00252,3.01095,8.47307,2.11485,0.03834,0,4e-05,4e-05,0.09604
2,4.96976,2.66502,5.52326,2.6637,0.02438,4.40224,0.58319,0.47798,0.4987,0.15669,0.01075,0.11919,0.0069,0.001,2.63933,8.60184,4.67043,0.03455,0,8.77725e-05,8.77725e-05,0.0910878
3,7.43879,2.33497,4.07937,2.36619,0.02269,3.72645,0.5225,0.33131,0.36939,0.11133,0,0,0,0,2.4595,19.9389,3.5646,0.03141,0,0.00013307,0.00013307,0.0861331
4,10.1267,2.38426,4.0097,2.35773,0.02112,3.49223,0.45538,0.24919,0.22782,0.08408,0,0,0,0,2.61502,25.2556,3.24977,0.03374,0,0.000175893,0.000175893,0.0811759
5,12.4962,2.30006,3.94402,2.43805,0.02194,3.24184,0.44426,0.3056,0.31059,0.08855,0,0,0,0,2.59786,21.4409,2.67836,0.0329,0,0.00021624,0.00021624,0.0762162
6,14.8972,2.28011,3.77647,2.23834,0.02008,3.07006,0.46807,0.4321,0.39962,0.11039,0,0,0,0,2.56881,20.5018,2.47151,0.03253,0,0.000254112,0.000254112,0.0712541
7,17.2698,2.3073,3.81268,2.3414,0.02074,3.01084,0.52811,0.47652,0.47173,0.1813,0,0,0,0,2.45878,18.4909,2.13101,0.03157,0,0.00028951,0.00028951,0.0662895
8,19.6191,2.23253,3.68902,2.2604,0.02014,2.8951,0.67141,0.49756,0.58344,0.22097,0,0,0,0,2.30325,14.0724,2.03802,0.02957,0,0.000322432,0.000322432,0.0613224
9,22.0238,2.15637,3.6527,2.16293,0.02045,2.72045,0.581,0.4752,0.52219,0.23086,0,0,0,0,2.15601,8.69107,2.07428,0.0274,0,0.00035288,0.00035288,0.0563529
10,24.4326,2.26483,3.6992,2.32624,0.01956,2.87678,0.62533,0.45839,0.50599,0.21036,0.04459,0.02222,0.00566,0.00057,2.19731,6.6417,2.03694,0.02824,0,0.000380853,0.000380853,0.0513809
11,26.7949,2.19866,3.58618,2.12551,0.01875,2.74099,0.65696,0.55511,0.61493,0.22498,0.06383,0.04444,0.00893,0.00128,2.28619,5.25726,1.93701,0.03002,0,0.00040635,0.00040635,0.0464064
12,29.1898,2.207,3.55783,2.1827,0.01834,2.72616,0.70628,0.55701,0.61724,0.23317,0.16349,0.11111,0.03859,0.00638,2.38615,4.29784,1.71231,0.03173,0,0.000429373,0.000429373,0.0414294
13,31.6644,2.19698,3.71996,2.12347,0.02026,2.69439,0.7325,0.56783,0.63572,0.24311,0.20432,0.13333,0.06393,0.01207,2.36282,4.07117,1.71392,0.03149,0,0.00044992,0.00044992,0.0364499
14,34.0906,2.09458,3.53385,2.02795,0.01961,2.57733,0.74746,0.59893,0.64564,0.25574,0.32902,0.21964,0.16651,0.02733,2.25693,3.83539,1.83343,0.02991,0,0.000467993,0.000467993,0.031468
15,36.5354,2.12592,3.57923,2.10078,0.0179,2.68385,0.77172,0.59078,0.66945,0.2594,0.39712,0.308,0.25087,0.05121,2.2464,3.77357,1.66641,0.02998,0,0.00048359,0.00048359,0.0264836
16,38.9127,2.16746,3.60065,2.1384,0.0201,2.53026,0.76075,0.64172,0.67695,0.26238,0.42679,0.33333,0.26608,0.05487,2.2105,3.73878,1.63506,0.02949,0,0.000496713,0.000496713,0.0214967
17,41.2762,2.09866,3.47154,2.01998,0.02045,2.51514,0.7497,0.59738,0.65026,0.26882,0.49555,0.35556,0.32724,0.06256,2.17421,3.61514,1.54524,0.02832,0,0.00050736,0.00050736,0.0165074
18,43.9364,2.13453,3.45854,1.87162,0.01898,2.38818,0.77306,0.64242,0.68662,0.28227,0.45131,0.33333,0.31824,0.0635,2.17123,3.52974,1.48027,0.02797,0,0.000515532,0.000515532,0.0115155
19,47.9745,2.1454,3.47114,2.00496,0.01961,2.51512,0.79385,0.64153,0.71097,0.28749,0.47068,0.33333,0.33434,0.06901,2.26071,3.39092,1.22356,0.02937,0,0.00052123,0.00052123,0.00652123
20,52.0902,2.10431,3.49392,1.93932,0.01904,2.46451,0.8135,0.67249,0.7306,0.2847,0.38855,0.37781,0.30687,0.06467,2.23536,3.26891,1.19717,0.0289,0,0.000524453,0.000524453,0.00152445
21,54.6649,1.99723,3.42872,2.13028,0.01703,2.61319,0.77141,0.65657,0.71773,0.28195,0.36229,0.33333,0.31324,0.07261,2.25342,3.25167,1.15271,0.02889,0,0.000505,0.000505,0.000505
22,58.2242,2.06181,3.3951,1.93163,0.01958,2.56841,0.73678,0.63434,0.71097,0.27268,0.35947,0.31727,0.30987,0.06846,2.22224,3.27029,1.25218,0.02799,0,0.00048025,0.00048025,0.00048025
23,62.871,2.0967,3.48324,1.85765,0.01998,2.45146,0.7324,0.63434,0.69369,0.27735,0.36039,0.33333,0.31897,0.07207,2.21825,3.24256,1.225,0.02748,0,0.0004555,0.0004555,0.0004555
24,67.2282,2.05965,3.54713,1.94694,0.01838,2.41767,0.81795,0.58012,0.6933,0.28544,0.35129,0.33333,0.29503,0.06233,2.1435,3.20805,1.21268,0.02637,0,0.00043075,0.00043075,0.00043075
25,71.4477,2.01587,3.33115,1.88856,0.01778,2.52987,0.88832,0.59353,0.70587,0.30163,0.44436,0.28623,0.28829,0.06588,2.1228,3.22633,1.18875,0.02587,0,0.000406,0.000406,0.000406
26,75.0438,1.95686,3.44476,1.95623,0.01684,2.50009,0.88287,0.5965,0.72877,0.31759,0.41454,0.26388,0.26222,0.06338,2.09667,3.21501,1.16288,0.02552,0,0.00038125,0.00038125,0.00038125
27,78.998,2.0664,3.36931,1.94266,0.0186,2.59476,0.8745,0.59585,0.72612,0.32175,0.41126,0.2664,0.25841,0.07055,2.05336,3.22888,1.24047,0.02464,0,0.0003565,0.0003565,0.0003565
28,83.4788,1.9862,3.38895,1.8664,0.01659,2.49384,0.86154,0.57163,0.71576,0.30884,0.29404,0.31111,0.23751,0.05569,1.9733,3.22711,1.32184,0.02319,0,0.00033175,0.00033175,0.00033175
29,87.5933,1.97583,3.44593,2.16073,0.01766,2.55916,0.85488,0.58038,0.72473,0.30557,0.29097,0.26667,0.22069,0.05055,2.00008,3.22042,1.29976,0.0237,0,0.000307,0.000307,0.000307
30,91.7267,2.08675,3.34242,1.85193,0.01711,2.41924,0.80425,0.62626,0.72402,0.3053,0.37937,0.24444,0.22418,0.05063,1.9714,3.21199,1.32893,0.02307,0,0.00028225,0.00028225,0.00028225
31,95.6875,1.90924,3.14957,1.75677,0.02674,2.33288,0.8212,0.62535,0.72511,0.30433,0.42175,0.26667,0.27297,0.05199,2.0114,3.15582,1.25952,0.02393,0,0.0002575,0.0002575,0.0002575
32,99.8323,1.81504,3.17592,1.61823,0.02418,2.15102,0.79131,0.62706,0.72707,0.30629,0.38449,0.30226,0.26404,0.05008,2.06564,3.11508,1.12698,0.02495,0,0.00023275,0.00023275,0.00023275
33,103.514,1.96882,3.01978,1.58329,0.02488,2.05856,0.80559,0.62953,0.72778,0.31,0.41198,0.32703,0.28412,0.05201,2.06281,3.12587,1.13046,0.02485,0,0.000208,0.000208,0.000208
34,107.515,1.93665,3.06849,1.54124,0.02353,2.06195,0.82208,0.63261,0.72534,0.31363,0.41415,0.33031,0.27596,0.05059,2.0561,3.11904,1.1301,0.02479,0,0.00018325,0.00018325,0.00018325
35,111.521,1.89122,3.02177,1.57353,0.02425,2.10066,0.83025,0.63356,0.72735,0.32203,0.37365,0.30541,0.27237,0.04966,2.05116,3.11124,1.12657,0.02473,0,0.0001585,0.0001585,0.0001585
36,115.482,1.83266,3.06003,1.5837,0.02193,2.12373,0.81432,0.62892,0.73031,0.32336,0.41146,0.3342,0.28064,0.05141,2.05258,3.10019,1.12176,0.02469,0,0.00013375,0.00013375,0.00013375
37,119.28,1.88414,3.03859,1.50686,0.02451,2.02019,0.85082,0.62567,0.73206,0.3222,0.453,0.35665,0.29188,0.05242,2.05726,3.09697,1.11857,0.02469,0,0.000109,0.000109,0.000109
38,123.292,1.84726,3.02863,1.62973,0.02277,2.05857,0.81592,0.60404,0.73077,0.32145,0.40431,0.34141,0.2817,0.05135,2.05415,3.09219,1.12184,0.02468,0,8.425e-05,8.425e-05,8.425e-05
39,127.369,1.81752,2.97704,1.62971,0.02342,2.1583,0.81911,0.60404,0.73251,0.32339,0.33603,0.31919,0.22826,0.04545,2.06106,3.09136,1.11556,0.02468,0,5.95e-05,5.95e-05,5.95e-05
40,131.413,1.84236,3.1299,1.60502,0.0238,2.09945,0.86276,0.60364,0.7337,0.32335,0.37126,0.34949,0.23277,0.04689,2.06863,3.08567,1.11037,0.02472,0,3.475e-05,3.475e-05,3.475e-05
